Statistics,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
mean,0.18095238095238098,0.46666666666666673,0.5809523809523809,0.008333333333333333,0.17261904761904762,0.28095238095238095,0.3440476190476191,0.5142857142857142,0.6392857142857142,0.10833333333333331,0.17142857142857146,0.2380952380952381,0.36428571428571427,0.3575757575757576,0.2318181818181818
median,0.11666666666666667,0.47500000000000003,0.625,0.008333333333333333,0.175,0.3,0.39166666666666666,0.5416666666666667,0.6583333333333333,0.13333333333333333,0.20833333333333331,0.23333333333333334,0.36666666666666664,0.23333333333333334,0.08333333333333333
std,0.2325545799442815,0.23350333942753268,0.21388852077595913,0.01636634176769943,0.01952526127006753,0.047499850817285715,0.09972325652101652,0.20137002413794164,0.2065021563799496,0.034931906550288584,0.09181342611742305,0.02129588549999799,0.017657615445465874,0.2625980948375385,0.26831446813549886
percentile_25,0.10416666666666667,0.3,0.375,0.0,0.16666666666666666,0.24166666666666667,0.24166666666666667,0.3208333333333333,0.4375,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.35416666666666663,0.14166666666666666,0.025
percentile_75,0.13333333333333333,0.5458333333333334,0.6916666666666667,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.43333333333333335,0.6541666666666667,0.7875000000000001,0.13333333333333333,0.25,0.25,0.37916666666666665,0.4666666666666667,0.3333333333333333
iqr,0.02916666666666666,0.2458333333333334,0.31666666666666665,0.016666666666666666,0.016666666666666663,0.07499999999999998,0.19166666666666668,0.33333333333333337,0.3500000000000001,0.06666666666666665,0.18333333333333332,0.016666666666666663,0.025000000000000022,0.325,0.3083333333333333
skew,3.289653377080497,1.6838947653173486,0.6390076587903127,0.6789001029564204,-0.7207733158000077,-0.29999716390776376,-0.26454040059420697,0.38213597228721374,0.4400320590440481,-0.11637042039358328,-0.12582585282428815,-0.33960282408278225,-1.1547204917097664,0.8958564546300097,0.9495411407740155
kurtosis,8.921247181677941,3.0212111388671667,-0.22709065196261458,0.8312757201646086,-0.07078398584873113,-0.7951188101310573,-1.6768914533159343,-0.9312847670190618,-0.8015019388330833,-1.5716835217132663,-1.8578109588186158,-0.7478124999999989,1.2568595041322235,-0.5638867000793608,-0.49764441411130766
mad,0.11938775510204085,0.16904761904761906,0.1812925170068027,0.013095238095238094,0.015476190476190477,0.04081632653061223,0.09489795918367346,0.17653061224489797,0.18214285714285713,0.03333333333333333,0.0880952380952381,0.0173469387755102,0.01292517006802722,0.2234159779614325,0.22561983471074376
