Statistics,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
mean,1.1892857142857143,1.1821428571428572,0.569047619047619,0.6590909090909088,0.33214285714285713,0.596969696969697,0.29090909090909095,0.27499999999999997,0.24642857142857139,0.23214285714285726,0.20476190476190476,0.1773809523809524,0.1595238095238096,0.1095238095238097,0.7011904761904761,0.6285714285714284,0.6011904761904763,0.3464285714285714,0.32738095238095244,0.3154761904761904,0.1190476190476191,0.9761904761904762,0.875,0.8333333333333336,0.5511904761904762,0.5047619047619049,0.47500000000000003,0.2285714285714288,3.451457742210313,1.925912390404103,2.207551253131444,0.03721739651592803,-3.3779804691722846,-0.2869205918377437,-3.091059877334541
median,0.9749999999999995,1.0916666666666666,0.5833333333333334,0.5499999999999995,0.2833333333333332,0.43333333333333335,0.1833333333333339,0.22499999999999964,0.19999999999999973,0.19166666666666643,0.15833333333333321,0.1333333333333333,0.11666666666666714,0.08333333333333304,0.5833333333333335,0.4999999999999999,0.4666666666666667,0.34166666666666656,0.25,0.20833333333333348,0.09999999999999987,0.8583333333333336,0.7583333333333333,0.7166666666666668,0.5666666666666667,0.4583333333333335,0.40000000000000013,0.25,3.0665270800116824,1.8940042148394394,2.131174106792111,0.026179480134182136,6.4436201236556965,2.260737164005657,2.5166837618594617
std,0.3769450689875299,0.3645210102222148,0.2142592576260313,0.369367712296368,0.10340709458680471,0.27069105184023506,0.25498699079151255,0.10152605420550782,0.09598664164429174,0.09666344118475198,0.09288766287205327,0.08742505698922445,0.08133662310732724,0.06321865736834169,0.3772006479291706,0.45536609079288154,0.45375261972720027,0.14116558039563118,0.26356884758060095,0.34889077551954645,0.06357633296580331,0.33698678119912656,0.4276991785140428,0.4245445739119691,0.15410575189278272,0.23632676559385837,0.3180889113998718,0.07303743642941875,2.9456269518380886,1.4774405775252393,1.7078167474323835,2.114218449677813,27.291569482864613,10.71911726081635,17.007066401042895
percentile_25,0.9333333333333333,1.0,0.35,0.5249999999999995,0.2666666666666666,0.3833333333333333,0.1499999999999996,0.21666666666666679,0.18333333333333357,0.16666666666666718,0.1333333333333333,0.11666666666666647,0.09999999999999964,0.06666666666666643,0.4750000000000001,0.3833333333333334,0.35416666666666674,0.27083333333333326,0.18333333333333324,0.14583333333333326,0.06666666666666687,0.7833333333333332,0.7083333333333334,0.6541666666666667,0.5125,0.4249999999999998,0.37083333333333324,0.2000000000000003,1.3172558669015855,0.9721936193762262,0.8188329418605174,-0.6374835931027668,-1.4316055565670214,0.8069829211946207,-1.3829380061510714
percentile_75,1.3624999999999992,1.2291666666666667,0.6666666666666667,0.7500000000000004,0.4333333333333333,0.7,0.2583333333333336,0.37916666666666665,0.3458333333333331,0.33333333333333337,0.2999999999999998,0.2666666666666666,0.24583333333333335,0.16250000000000014,0.783333333333333,0.6708333333333328,0.6458333333333335,0.4166666666666665,0.3458333333333332,0.29583333333333317,0.16666666666666652,1.1499999999999997,0.8374999999999997,0.7999999999999998,0.625,0.5125,0.4458333333333334,0.28333333333333355,4.028411877672072,2.8813666450334114,3.002884467663902,0.31809977993471816,8.497511444688646,4.33115975162595,5.101739034678051
iqr,0.4291666666666658,0.22916666666666674,0.31666666666666676,0.22500000000000098,0.16666666666666669,0.31666666666666665,0.10833333333333398,0.16249999999999987,0.16249999999999953,0.16666666666666619,0.16666666666666652,0.15000000000000013,0.1458333333333337,0.09583333333333371,0.3083333333333329,0.2874999999999994,0.29166666666666674,0.14583333333333326,0.16249999999999998,0.1499999999999999,0.09999999999999964,0.3666666666666665,0.12916666666666632,0.14583333333333315,0.11250000000000004,0.08750000000000013,0.07500000000000018,0.08333333333333326,2.7111560107704866,1.9091730256571853,2.184051525803385,0.955583373037485,9.929117001255667,3.5241768304313297,6.484677040829123
skew,1.0987297190085747,0.9982917429595923,0.27173026425558977,1.4073626848546417,0.09883829842718574,0.9176256088647505,1.4949227101274274,0.10238367169354112,0.13074441829485464,0.09589531998831376,0.15718072483369025,0.17537356808528842,0.24569603969282844,0.5445790798237647,1.5469107016933947,1.465410088984218,1.5233231329455557,-0.010486160132183064,2.0904052394817905,2.6276590162670383,0.20673823060105312,1.3796526091234758,1.1984765841575487,1.2642086009010267,-0.6947990113758549,1.6686792745955275,2.5074989413459923,-0.7852876524425261,1.9682816361761222,-0.17032270063282215,0.5635063829748446,1.379887500114426,-2.097719545133632,-2.385621290326232,-1.9159863608373544
kurtosis,-0.2613788950977285,0.15978226619122582,-1.1377416899830624,1.7893606305162475,-1.4212413524156537,-0.5408462484979926,0.5621781339427305,-1.5373948260385844,-1.641164715207985,-1.6475952035041,-1.6982081464840637,-1.7038560366056776,-1.6332476435304157,-1.0501644786479574,1.918711174069605,1.1465400662884564,1.2406587236255877,0.24102841125945362,4.041040763110317,6.057169438417205,-1.282450346106852,1.4916154021776,0.7425900263314569,0.8118316816421167,0.4237951019207431,3.3679841681242815,5.8991420088219755,-0.6539880584676676,3.924744372494998,-0.26061083461412693,-0.8832542170844309,3.267007291321761,3.5515954366957656,5.396553669700394,2.4227288025764837
mad,0.32431972789115654,0.27448979591836736,0.17346938775510207,0.2630853994490359,0.09625850340136059,0.23002754820936638,0.19118457300275482,0.09523809523809536,0.0911564625850341,0.09149659863945572,0.08877551020408171,0.08367346938775501,0.0775510204081632,0.056122448979591885,0.282482993197279,0.3241496598639454,0.3255102040816328,0.10833333333333332,0.1670068027210885,0.207482993197279,0.0574829931972789,0.26360544217687093,0.30595238095238086,0.304761904761905,0.11037414965986393,0.14965986394557843,0.18690476190476188,0.06088435374149638,1.9408754501031342,1.1955819283729507,1.4528842266930253,1.2417350347316969,17.653688920030508,6.45576825442749,11.393923043897644
